name,latitude,longitude,scientificName,publishingCountry,stateProvince,year,month,day,eventDate,individualCount
Asclepias speciosa Torr.,39.763898,-105.004255,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,50.029608,-119.497074,Asclepias speciosa Torr.,FR,NA,2019,6,25,2019-06-25,1
Asclepias speciosa Torr.,39.432622,-118.848898,Asclepias speciosa Torr.,FR,NA,2019,6,25,2019-06-25,1
Asclepias speciosa Torr.,43.566945,-116.138573,Asclepias speciosa Torr.,FR,NA,2019,6,28,2019-06-28,1
Asclepias speciosa Torr.,45.575942,-122.714039,Asclepias speciosa Torr.,FR,NA,2019,6,23,2019-06-23,1
Asclepias speciosa Torr.,50.72287,-121.280227,Asclepias speciosa Torr.,FR,NA,2019,6,24,2019-06-24,1
Asclepias speciosa Torr.,46.249736,-119.258197,Asclepias speciosa Torr.,FR,NA,2019,6,23,2019-06-23,1
Asclepias speciosa Torr.,41.834753,-103.670307,Asclepias speciosa Torr.,FR,NA,2019,6,26,2019-06-26,1
Asclepias speciosa Torr.,39.803829,-105.098703,Asclepias speciosa Torr.,FR,NA,2019,6,24,2019-06-24,1
Asclepias speciosa Torr.,50.757929,-120.814109,Asclepias speciosa Torr.,FR,NA,2019,6,25,2019-06-25,1
Asclepias speciosa Torr.,49.390096,-119.588861,Asclepias speciosa Torr.,FR,NA,2019,6,21,2019-06-21,1
Asclepias speciosa Torr.,46.329926,-119.995166,Asclepias speciosa Torr.,FR,NA,2019,6,27,2019-06-27,1
Asclepias speciosa Torr.,45.515432,-122.715824,Asclepias speciosa Torr.,FR,NA,2019,6,28,2019-06-28,1
Asclepias speciosa Torr.,43.517004,-112.054652,Asclepias speciosa Torr.,FR,NA,2019,6,28,2019-06-28,1
Asclepias speciosa Torr.,45.515498,-122.715426,Asclepias speciosa Torr.,FR,NA,2019,6,26,2019-06-26,1
Asclepias speciosa Torr.,38.852349,-104.774376,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,50.721972,-121.325448,Asclepias speciosa Torr.,FR,NA,2019,6,11,2019-06-11,1
Asclepias speciosa Torr.,39.616028,-104.749789,Asclepias speciosa Torr.,FR,NA,2019,6,27,2019-06-27,1
Asclepias speciosa Torr.,47.535899,-120.511313,Asclepias speciosa Torr.,FR,NA,2019,6,9,2019-06-09,1
Asclepias speciosa Torr.,37.755227,-97.749644,Asclepias speciosa Torr.,FR,NA,2019,6,11,2019-06-11,1
Asclepias speciosa Torr.,43.649995,-108.212795,Asclepias speciosa Torr.,FR,NA,2019,6,16,2019-06-16,1
Asclepias speciosa Torr.,39.783935,-104.895828,Asclepias speciosa Torr.,FR,NA,2019,6,21,2019-06-21,1
Asclepias speciosa Torr.,44.081576,-123.169478,Asclepias speciosa Torr.,FR,NA,2019,6,18,2019-06-18,1
Asclepias speciosa Torr.,44.09145,-121.261166,Asclepias speciosa Torr.,FR,NA,2019,6,7,2019-06-07,1
Asclepias speciosa Torr.,43.940518,-116.343031,Asclepias speciosa Torr.,FR,NA,2019,6,30,2019-06-30,1
Asclepias speciosa Torr.,36.755556,-108.3775,Asclepias speciosa Torr.,FR,NA,2019,6,21,2019-06-21,1
Asclepias speciosa Torr.,43.60875,-116.173261,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,39.552651,-119.74626,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,36.473573,-105.602172,Asclepias speciosa Torr.,FR,NA,2019,6,28,2019-06-28,1
Asclepias speciosa Torr.,37.744454,-119.59348,Asclepias speciosa Torr.,FR,NA,2019,6,30,2019-06-30,1
Asclepias speciosa Torr.,45.829416,-119.657229,Asclepias speciosa Torr.,FR,NA,2019,6,6,2019-06-06,1
Asclepias speciosa Torr.,45.528839,-122.569513,Asclepias speciosa Torr.,FR,NA,2019,6,16,2019-06-16,1
Asclepias speciosa Torr.,40.027185,-105.246029,Asclepias speciosa Torr.,FR,NA,2019,6,19,2019-06-19,1
Asclepias speciosa Torr.,39.762261,-104.774394,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,44.041011,-123.097625,Asclepias speciosa Torr.,FR,NA,2019,6,15,2019-06-15,1
